ID аномалии;Аномалия;ID проблемы;Проблема
1;ata1: COMRESET failed;1;RAID controller firmware fault detected
2;RAID array degraded;1;RAID controller firmware fault detected
3;RAID disk offline;1;RAID controller firmware fault detected
4;ata1: read timeout;1;RAID controller firmware fault detected
5;Disk status unknown;1;RAID controller firmware fault detected
6;Rebuild process hung;1;RAID controller firmware fault detected
7;ata1: device disconnected;1;RAID controller firmware fault detected
8;RAID controller reset;1;RAID controller firmware fault detected
481;segfault at 0x0 ip 0x7f1234567890;1;RAID controller firmware fault detected
482;Performance degradation detected;1;RAID controller firmware fault detected
9;CPU0: Temperature critical;2;CPU0: Core temperature above threshold
10;CPU throttling enabled;2;CPU0: Core temperature above threshold
11;Fan speed above 5000 RPM;2;CPU0: Core temperature above threshold
12;Thermal event logged;2;CPU0: Core temperature above threshold
13;Process crashed due to CPU fault;2;CPU0: Core temperature above threshold
14;Sensor T1 critical;2;CPU0: Core temperature above threshold
15;Panic due to thermal limit;2;CPU0: Core temperature above threshold
16;CPU clock reduced;2;CPU0: Core temperature above threshold
483;Error logged in system journal;2;CPU0: Core temperature above threshold
484;Service stopped unexpectedly;2;CPU0: Core temperature above threshold
17;ECC single-bit error;3;Memory ECC error detected
18;MEMORY_FAULT 0x0000;3;Memory ECC error detected
19;Memory access latency high;3;Memory ECC error detected
20;Data corrupted in memory;3;Memory ECC error detected
21;Out of memory error;3;Memory ECC error detected
22;Process terminated abnormally;3;Memory ECC error detected
23;Memory test failed;3;Memory ECC error detected
24;kmalloc failure;3;Memory ECC error detected
485;User request failed with error;3;Memory ECC error detected
486;High CPU/memory usage alert;3;Memory ECC error detected
25;PSU1 voltage drop;4;PSU voltage out of range
26;PSU voltage unstable;4;PSU voltage out of range
27;System unstable under load;4;PSU voltage out of range
28;PSU fan stopped;4;PSU voltage out of range
29;Overcurrent event;4;PSU voltage out of range
30;Power loss detected;4;PSU voltage out of range
31;Boot failure: no power;4;PSU voltage out of range
32;PSU temperature high;4;PSU voltage out of range
487;Intermittent operation failure;4;PSU voltage out of range
488;Operation timed out;4;PSU voltage out of range
33;SSD wear level critical;5;SSD wear-leveling threshold exceeded
34;SSD read latency high;5;SSD wear-leveling threshold exceeded
35;SSD health warning;5;SSD wear-leveling threshold exceeded
36;SSD write error;5;SSD wear-leveling threshold exceeded
